Temperature	Energy	Magnetization	Specific heat	Susceptibility	Magnetization_0.1	Magnetization_0.3	Magnetization_0.7	Magnetization_1.3	Magnetization_1.5	Magnetization_2
0.1	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.1393939393939394	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.1787878787878787	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.2181818181818181	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.2575757575757575	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.296969696969697	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.3363636363636363	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.3757575757575757	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.4151515151515151	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.4545454545454545	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.4939393939393939	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.5333333333333333	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.5727272727272726	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.6121212121212121	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.6515151515151515	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.6909090909090908	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.7303030303030302	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.7696969696969697	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.809090909090909	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.8484848484848484	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.8878787878787878	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.9272727272727272	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
0.9666666666666666	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
1.006060606060606	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
1.0454545454545454	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
1.0848484848484847	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
1.1242424242424245	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
1.1636363636363636	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
1.2030303030303031	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
1.2424242424242424	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
1.2818181818181815	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
1.3212121212121213	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
1.3606060606060606	8.0	1.0	0.0	0.0	0.05	0.15	0.35	0.65	0.75	1.0
