Temperature	Energy	Magnetization
0.1	8.0	1.0
0.1393939393939394	8.0	1.0
0.17878787878787877	8.0	1.0
0.21818181818181817	8.0	1.0
0.25757575757575757	8.0	1.0
0.296969696969697	8.0	1.0
0.3363636363636363	8.0	1.0
0.37575757575757573	8.0	1.0
0.41515151515151516	8.0	1.0
0.4545454545454545	8.0	1.0
0.4939393939393939	8.0	1.0
0.5333333333333333	8.0	1.0
0.5727272727272726	8.0	1.0
0.6121212121212121	8.0	1.0
0.6515151515151515	8.0	1.0
0.6909090909090908	8.0	1.0
0.7303030303030302	7.9872	0.9992
0.7696969696969697	7.9872	0.9992
0.809090909090909	8.0	1.0
0.8484848484848484	8.0	1.0
0.8878787878787878	8.0	1.0
0.9272727272727271	8.0	1.0
0.9666666666666666	7.9872	0.9992
1.006060606060606	7.9872	0.9992
1.0454545454545454	8.0	1.0
1.0848484848484847	7.9744	0.9984
1.1242424242424243	7.9872	0.9992
1.1636363636363636	7.9296	0.9952
1.2030303030303031	7.9616	0.9976
1.2424242424242424	7.9488	0.9968
1.2818181818181817	7.9424	0.996
1.3212121212121213	7.9232	0.9936
1.3606060606060606	7.8592	0.9912
1.4	7.8144	0.988
1.4393939393939394	7.8464	0.9896
1.4787878787878788	7.7568	0.9824
1.518181818181818	7.872	0.9912
1.5575757575757576	7.6672	0.9768
1.596969696969697	7.616	0.9736
1.6363636363636362	7.6864	0.976
1.6757575757575758	7.5648	0.9632
1.715151515151515	7.648	0.9744
1.7545454545454544	7.4752	0.9608
1.793939393939394	7.456	0.9616
1.8333333333333333	7.1936	0.932
1.8727272727272726	7.3664	0.9504
1.912121212121212	7.2576	0.9352
1.9515151515151514	7.1424	0.928
1.9909090909090907	7.0976	0.9152
2.0303030303030303	7.0336	0.9128
2.0696969696969694	6.5664	0.8664
2.109090909090909	6.7904	0.8888
2.1484848484848484	6.4768	0.8504
2.187878787878788	6.432	0.8416
2.227272727272727	6.0416	0.7352
2.2666666666666666	6.144	0.7872
2.306060606060606	5.2608	0.608
2.3454545454545452	5.6256	0.6976
2.3848484848484848	5.44	0.616
2.4242424242424243	4.576	0.3424
2.4636363636363634	4.6784	0.3736
2.503030303030303	4.544	0.2096
2.5424242424242425	4.4416	0.292
2.5818181818181816	4.2816	0.1096
2.621212121212121	3.8464	0.0224
2.6606060606060606	4.0192	0.116
2.6999999999999997	3.8016	0.064
2.7393939393939393	3.7952	0.1832
2.778787878787879	3.4944	0.0576
2.818181818181818	3.4816	0.012
2.8575757575757574	3.5328	0.0648
2.896969696969697	3.2256	0.0336
2.936363636363636	3.296	0.0912
2.9757575757575756	3.1552	0.0928
3.015151515151515	3.1168	0.016
3.0545454545454542	3.2832	0.004
3.0939393939393938	3.1168	0.0096
3.1333333333333333	3.1104	0.0568
3.1727272727272724	2.9888	0.0576
3.212121212121212	2.944	0.0184
3.2515151515151515	2.912	0.0176
3.2909090909090906	2.8672	0.0048
3.33030303030303	3.0016	0.1512
3.3696969696969696	2.9376	0.1088
3.4090909090909087	2.5728	0.0552
3.4484848484848483	2.7584	0.0432
3.487878787878788	2.6304	0.0864
3.527272727272727	2.7776	0.0856
3.5666666666666664	2.7648	0.0512
3.606060606060606	2.5472	0.0288
3.645454545454545	2.5216	0.04
3.6848484848484846	2.6304	0.0224
3.724242424242424	2.5216	0.0056
3.7636363636363632	2.2144	0.0208
3.8030303030303028	2.304	0.0264
3.8424242424242423	2.4832	0.048
3.8818181818181814	2.3552	0.02
3.921212121212121	2.4	0.0248
3.9606060606060605	2.4384	0.0232
4.0	2.1952	0.0448
