Temperature	Energy	Magnetization	Specific heat	Susceptibility
0.7437437437437437	7.998944	0.999934	0.022640639999999993	8.843999999999997e-05
0.7496496496496496	8.0	1.0	0.0	0.0
0.7555555555555555	7.998336	0.9998959999999999	0.025559039999999995	9.983999999999998e-05
0.7614614614614614	8.0	1.0	0.0	0.0
0.7673673673673673	8.0	1.0	0.0	0.0
0.7732732732732733	7.998303999999999	0.9998940000000001	0.025507840000000007	9.963999999999997e-05
0.7791791791791792	7.997472	0.999842	0.029276160000000006	0.00011436000000000002
0.7850850850850851	7.997472	0.999842	0.016988159999999995	6.635999999999998e-05
0.790990990990991	8.0	1.0	0.0	0.0
0.7968968968968969	8.0	1.0	0.0	0.0
0.8028028028028028	8.0	1.0	0.0	0.0
0.8087087087087087	8.0	1.0	0.0	0.0
0.8146146146146146	7.9968	0.9998	0.0	0.0
0.8205205205205205	7.995744	0.999734	0.08612863999999999	0.00033643999999999997
0.8264264264264264	8.0	1.0	0.0	0.0
0.8323323323323324	7.996352000000001	0.9997719999999999	0.07786496000000001	0.0003041600000000001
0.8382382382382383	8.0	1.0	0.0	0.0
0.8441441441441442	7.997472	0.999842	0.05999616000000001	0.00023436000000000003
0.8500500500500501	7.99072	0.9994200000000001	0.023552000000000007	9.199999999999997e-05
0.855955955955956	8.0	1.0	0.0	0.0
0.8618618618618619	7.99552	0.99972	0.024576	9.599999999999999e-05
0.8677677677677678	8.0	1.0	0.0	0.0
0.8736736736736737	7.997056	0.999816	0.11812864	0.00046144
0.8795795795795796	7.999232000000001	0.9999520000000001	0.018677759999999995	7.295999999999998e-05
0.8854854854854856	8.0	1.0	0.0	0.0
0.8913913913913915	7.988672	0.999292	0.02543616	9.936e-05
0.8972972972972973	7.99096	0.999384	0.069312	0.00039743999999999994
0.9032032032032032	7.999584	0.999974	0.011581439999999997	4.523999999999999e-05
0.9091091091091091	7.9936	0.9996	0.0	0.0
0.915015015015015	7.995616	0.999726	0.030013439999999995	0.00011723999999999998
0.9209209209209209	7.9879039999999994	0.999244	0.05853184	0.00022864
0.9268268268268268	7.993792	0.9996120000000001	0.052879359999999986	0.00020656
0.9327327327327327	8.0	1.0	0.0	0.0
0.9386386386386386	7.9959039999999995	0.9997440000000001	0.020643840000000007	8.063999999999999e-05
0.9445445445445446	7.991296000000001	0.9994559999999999	0.05545984000000003	0.00021663999999999999
0.9504504504504505	7.999712	0.9999819999999999	0.008386559999999998	3.275999999999999e-05
0.9563563563563564	7.993567999999999	0.999598	0.01330176	5.196e-05
0.9622622622622623	7.992352	0.9995219999999999	0.044840959999999985	0.00017516
0.9681681681681682	7.990144	0.999384	0.11403263999999999	0.00044543999999999996
0.9740740740740741	7.991264	0.9994540000000001	0.10415103999999999	0.00040683999999999995
0.97997997997998	7.990912	0.999432	0.05267456000000001	0.00020576000000000004
0.9858858858858859	7.9923839999999995	0.999524	0.03026944	0.00011824
0.9917917917917918	7.988703999999999	0.999188	0.08899584000000002	0.0005985599999999999
0.9976976976976977	7.976960000000001	0.99856	0.1966080000000001	0.0007680000000000003
1.0036036036036038	7.995775999999999	0.9997360000000001	0.022282240000000005	8.704000000000002e-05
1.0095095095095097	7.9880960000000005	0.999244	0.07798784000000003	0.00038064000000000007
1.0154154154154156	7.992528	0.9994719999999999	0.08502016	0.00046816
1.0213213213213215	7.992528	0.9995280000000001	0.19151615999999996	0.00079616
1.0272272272272274	7.9959679999999995	0.999748	0.03198975999999999	0.00012495999999999997
1.0331331331331333	7.98192	0.998828	0.0832	0.00037615999999999995
1.0390390390390392	7.983264	0.998922	0.06728703999999999	0.00034315999999999996
1.044944944944945	7.984128	0.999008	0.12886015999999997	0.0005033599999999999
1.050850850850851	7.986047999999999	0.999128	0.14237696000000005	0.0005561599999999998
1.0567567567567568	7.976576	0.9985360000000001	0.10625023999999998	0.00041504000000000015
1.0626626626626627	7.983296000000001	0.998956	0.21008383999999997	0.0008206400000000001
1.0685685685685686	7.987936	0.999246	0.13487103999999997	0.0005268400000000001
1.0744744744744745	7.969247999999999	0.9980760000000001	0.62391296	0.0024542400000000008
1.0803803803803804	7.986464	0.9991540000000001	0.35810304000000004	0.0013988400000000002
1.0862862862862863	7.979936	0.9987459999999999	0.77384704	0.00302284
1.0921921921921922	7.9737919999999995	0.9982219999999999	0.28711936000000005	0.0018311599999999999
1.098098098098098	7.980352000000001	0.998742	0.06711296000000001	0.00035436
1.1040040040040042	7.981152000000001	0.9986459999999999	0.06839296000000002	0.0003508399999999999
1.1099099099099101	7.989952000000001	0.9993719999999999	0.036904959999999994	0.00014415999999999998
1.115815815815816	7.981856	0.998866	0.27044864	0.00105644
1.121721721721722	7.96488	0.9977459999999999	0.699072	0.00296684
1.1276276276276278	7.967952	0.997972	0.27671296	0.00100816
1.1335335335335337	7.9728	0.9983	0.502784	0.001964
1.1394394394394396	7.960688	0.997332	0.08921856	0.0009217599999999998
1.1453453453453455	7.981503999999999	0.9988319999999999	0.05648384000000001	0.00027776
1.1512512512512514	7.963760000000001	0.997604	0.380608	0.00183984
1.1571571571571573	7.980767999999999	0.9987159999999999	0.13259775999999998	0.0005694399999999999
1.1630630630630632	7.95832	0.997194	0.58592	0.004531640000000002
1.168968968968969	7.9824	0.9989	0.25292800000000004	0.0009880000000000002
1.174874874874875	7.960576	0.997482	0.13645824	0.0006007599999999998
